sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,status,stdout_log,stderr_log,artifacts_created,artifacts_reused,blocker,claim_allowed
63,seal_four_integration_wrappers,python3 -m pytest -q -o addopts= tests/test_v2_audit.py::test_v2_audit_runs_and_writes_outputs tests/test_v3_docs_and_audit.py::test_v3_final_audit_runs tests/test_v4_audit.py::test_v4_final_audit_runs tests/test_v5_audit.py::test_v5_final_audit_runs,.,2026-08-12T11:42:40.529919Z,2026-08-12T11:44:05.310891Z,84.779614,0,PASS,reports/icml2027/deep_repair/command_logs/0063_seal_four_integration_wrappers.stdout.log,reports/icml2027/deep_repair/command_logs/0063_seal_four_integration_wrappers.stderr.log,,,,False
64,seal_trusted_bootstrap_security,python3 -m pytest -q -o addopts= tests/test_final_execution_path_seal.py tests/test_universal_kaggle_discovery.py,.,2026-08-12T11:44:17.085284Z,2026-08-12T11:44:23.899739Z,6.813757,0,PASS,reports/icml2027/deep_repair/command_logs/0064_seal_trusted_bootstrap_security.stdout.log,reports/icml2027/deep_repair/command_logs/0064_seal_trusted_bootstrap_security.stderr.log,,,,False
65,seal_diagnostic_bundle,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip --json,.,2026-08-12T11:44:23.980282Z,2026-08-12T11:44:24.144527Z,0.163815,0,PASS,reports/icml2027/deep_repair/command_logs/0065_seal_diagnostic_bundle.stdout.log,reports/icml2027/deep_repair/command_logs/0065_seal_diagnostic_bundle.stderr.log,,,,False
66,seal_preflight_bundle,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip --json,.,2026-08-12T11:44:24.221121Z,2026-08-12T11:44:24.402397Z,0.180854,0,PASS,reports/icml2027/deep_repair/command_logs/0066_seal_preflight_bundle.stdout.log,reports/icml2027/deep_repair/command_logs/0066_seal_preflight_bundle.stderr.log,,,,False
67,seal_provenance,python3 -m certgen provenance verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-08-12T11:44:24.485699Z,2026-08-12T11:44:24.625959Z,0.139797,0,PASS,reports/icml2027/deep_repair/command_logs/0067_seal_provenance.stdout.log,reports/icml2027/deep_repair/command_logs/0067_seal_provenance.stderr.log,,,,False
68,seal_replay,python3 -m certgen replay verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-08-12T11:44:24.701545Z,2026-08-12T11:44:24.835000Z,0.132974,0,PASS,reports/icml2027/deep_repair/command_logs/0068_seal_replay.stdout.log,reports/icml2027/deep_repair/command_logs/0068_seal_replay.stderr.log,,,,False
69,seal_privacy,"python3 -c 'from certgen.release.privacy_scan import scan_privacy; issues=scan_privacy(); print({""passed"":not issues,""issues"":issues}); raise SystemExit(bool(issues))'",.,2026-08-12T11:44:36.887186Z,2026-08-12T11:44:36.981055Z,0.093366,0,PASS,reports/icml2027/deep_repair/command_logs/0069_seal_privacy.stdout.log,reports/icml2027/deep_repair/command_logs/0069_seal_privacy.stderr.log,,,,False
70,seal_secrets,"python3 -c 'from scripts.generate_execution_reports import secret_scan; findings=secret_scan(); print({""passed"":not findings,""findings"":findings}); raise SystemExit(bool(findings))'",.,2026-08-12T11:44:37.065649Z,2026-08-12T11:44:37.427041Z,0.360598,0,PASS,reports/icml2027/deep_repair/command_logs/0070_seal_secrets.stdout.log,reports/icml2027/deep_repair/command_logs/0070_seal_secrets.stderr.log,,,,False
71,seal_restricted_assets,"python3 -c 'from scripts.generate_execution_reports import large_file_audit; rows,blockers=large_file_audit(); restricted=[r for r in rows if r[""classification""]==""restricted_model_asset"" and r[""tracked""]==""true""]; print({""passed"":not blockers and not restricted,""blockers"":blockers,""restricted"":restricted}); raise SystemExit(bool(blockers or restricted))'",.,2026-08-12T11:44:37.511088Z,2026-08-12T11:44:38.200920Z,0.689308,0,PASS,reports/icml2027/deep_repair/command_logs/0071_seal_restricted_assets.stdout.log,reports/icml2027/deep_repair/command_logs/0071_seal_restricted_assets.stderr.log,,,,False
72,seal_release_scan,python3 -m certgen.cli.run_release_safety_scan,.,2026-08-12T11:44:38.280087Z,2026-08-12T11:44:38.387662Z,0.107085,0,PASS,reports/icml2027/deep_repair/command_logs/0072_seal_release_scan.stdout.log,reports/icml2027/deep_repair/command_logs/0072_seal_release_scan.stderr.log,,,,False
73,seal_diff_check,git diff --check,.,2026-08-12T11:44:38.463642Z,2026-08-12T11:44:38.484607Z,0.020610,0,PASS,reports/icml2027/deep_repair/command_logs/0073_seal_diff_check.stdout.log,reports/icml2027/deep_repair/command_logs/0073_seal_diff_check.stderr.log,,,,False
