command_id,command,working_directory,environment,start_utc,end_utc,duration_seconds,exit_code,passed,failed,skipped_or_deselected,warnings,output,evidence_boundary
final_20260721_critical_mypy,python3 -m mypy --follow-imports=skip --ignore-missing-imports certgen/cvpr/output_schemas.py certgen/cvpr/model_adapters.py certgen/cvpr/prepare.py certgen/cvpr/builder_faithful.py certgen/cvpr/synthetic_runtime.py certgen/notebooks/kaggle_io.py certgen/notebooks/final_zip.py certgen/notebooks/subprocess_orchestrator.py certgen/packaging/v9_import_repair.py certgen/packaging/artifact_registry.py scripts/real_execution_closure_runner.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:26:48.977951Z,2026-07-21T08:26:50.671864Z,1.693801,0,0,0,0,0,Success: no issues found in 11 source files,local-safe software validation only
final_20260721_full_mypy_debt,python3 -m mypy certgen,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:26:56.055676Z,2026-07-21T08:27:11.575324Z,15.519506,1,0,0,0,0,Found 111 errors in 34 files (checked 310 source files),historical type-debt inventory; not a closure pass gate beyond incremental comparison
final_20260721_paper_compile,pdflatex -interaction=nonstopmode -halt-on-error -output-directory=/tmp/certgen_closure_paper_final_20260721 main.tex,paper,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:27:26.479937Z,2026-07-21T08:27:26.649717Z,0.169680,0,0,0,0,0,Transcript written on /tmp/certgen_closure_paper_final_20260721/main.log.,document build only; no empirical evidence
final_20260721_portable_archive,python3 -m certgen release build-archive --out /tmp/certgen_cvpr_repro_final_20260721.zip,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:27:36.762255Z,2026-07-21T08:27:40.148409Z,3.386040,0,0,0,0,0,},"release validation only; excludes data, model assets, caches, and empirical outputs"
final_20260721_git_diff_check_pre_reports,git diff --check,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:27:45.460251Z,2026-07-21T08:27:45.545229Z,0.084858,0,0,0,0,0,no console output,local-safe software validation only
rerun_20260721_live_reference_candidate_action_tests,python3 -m pytest -q tests/test_phase1_closure.py tests/test_final_run_ready_closure.py tests/test_v9_execution_supercharger.py tests/test_final_100_percent_pre_run.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:29:15.789170Z,2026-07-21T08:29:17.965806Z,2.176342,1,29,3,0,0,"3 failed, 29 passed in 1.35s",local-safe software validation only
final2_20260721_default_pytest,python3 -m pytest -q,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:31:17.146173Z,2026-07-21T08:31:27.758893Z,10.612587,0,282,0,4,0,"282 passed, 4 deselected in 10.02s",local-safe software validation only
final2_20260721_integration_audit,python3 -m pytest -q -m integration_audit,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:31:27.838329Z,2026-07-21T08:32:10.980147Z,43.141595,0,4,0,282,0,"4 passed, 282 deselected in 42.60s",local-safe software validation only
final2_20260721_cvpr_audit,python3 -m certgen.audit.cvpr_final_audit,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:32:46.156040Z,2026-07-21T08:32:46.319141Z,0.162801,2,0,0,0,0,cvpr_audit=False checks=7/8,local-safe software validation only
final3_20260721_cvpr_audit,python3 -m certgen.audit.cvpr_final_audit,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:33:28.439111Z,2026-07-21T08:33:28.603365Z,0.163967,0,0,0,0,0,cvpr_audit=True checks=8/8,local-safe software validation only
final3_20260721_forensic_audit,python3 -m certgen.audit.forensic_final_audit --json-out /tmp/certgen_closure_forensic_final3_20260721.json --out /tmp/certgen_closure_forensic_final3_20260721.md,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:33:28.680098Z,2026-07-21T08:33:28.786815Z,0.106607,0,0,0,0,0,forensic_audit=True checks=8/8,local-safe software validation only
final3_20260721_v9_compatibility_audit,python3 -m certgen.audit.v9_execution_supercharger_audit --out /tmp/certgen_closure_v9_final3_20260721.md --json-out /tmp/certgen_closure_v9_final3_20260721.json,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:33:28.863410Z,2026-07-21T08:33:29.032302Z,0.168784,0,0,0,0,0,},local-safe software validation only
final3_20260721_phase1_kaggle_launch_audit,python3 -m certgen audit kaggle-launch --json,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:33:29.109641Z,2026-07-21T08:33:29.322847Z,0.213095,0,0,0,0,0,},local-safe software validation only
final3_20260721_phase1_cpu_execution_audit,python3 -m certgen audit cpu-execution --json,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:33:29.401039Z,2026-07-21T08:33:29.558034Z,0.156881,0,0,0,0,0,},local-safe software validation only
final3_20260721_notebook_audit,python3 -m certgen audit notebooks,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:33:29.636496Z,2026-07-21T08:33:29.758121Z,0.121507,0,0,0,0,0,},local-safe software validation only
final3_20260721_phase1_reporting_refresh,"python3 -c 'from certgen.phase1.reporting import generate_phase1_reports; import json; print(json.dumps(generate_phase1_reports(), indent=2))'",.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:38:00.191389Z,2026-07-21T08:38:00.340953Z,0.149270,0,0,0,0,0,},local-safe software validation only
seal_20260721_ruff,python3 -m ruff check certgen tests scripts,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:38:15.597069Z,2026-07-21T08:38:15.696313Z,0.099134,0,0,0,0,0,All checks passed!,local-safe software validation only
seal_20260721_critical_mypy,python3 -m mypy --follow-imports=skip --ignore-missing-imports certgen/cvpr/output_schemas.py certgen/cvpr/model_adapters.py certgen/cvpr/prepare.py certgen/cvpr/builder_faithful.py certgen/cvpr/synthetic_runtime.py certgen/cvpr/readiness.py certgen/notebooks/kaggle_io.py certgen/notebooks/final_zip.py certgen/notebooks/subprocess_orchestrator.py certgen/packaging/v9_import_repair.py certgen/packaging/artifact_registry.py certgen/pipeline/v9_next_action.py certgen/phase1/state.py certgen/phase1/audit.py certgen/audit/cvpr_final_audit.py scripts/real_execution_closure_runner.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:38:15.771503Z,2026-07-21T08:38:17.133886Z,1.362264,1,0,0,0,0,Found 1 error in 1 file (checked 16 source files),local-safe software validation only
seal2_20260721_critical_mypy,python3 -m mypy --follow-imports=skip --ignore-missing-imports certgen/cvpr/output_schemas.py certgen/cvpr/model_adapters.py certgen/cvpr/prepare.py certgen/cvpr/builder_faithful.py certgen/cvpr/synthetic_runtime.py certgen/cvpr/readiness.py certgen/notebooks/kaggle_io.py certgen/notebooks/final_zip.py certgen/notebooks/subprocess_orchestrator.py certgen/packaging/v9_import_repair.py certgen/packaging/artifact_registry.py certgen/pipeline/v9_next_action.py certgen/phase1/state.py certgen/phase1/audit.py certgen/audit/cvpr_final_audit.py scripts/real_execution_closure_runner.py,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:38:42.147184Z,2026-07-21T08:38:42.282159Z,0.134870,0,0,0,0,0,Success: no issues found in 16 source files,local-safe software validation only
seal2_20260721_default_pytest,python3 -m pytest -q,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:38:42.352062Z,2026-07-21T08:38:53.156699Z,10.804517,1,281,1,4,0,"1 failed, 281 passed, 4 deselected in 9.90s",local-safe software validation only
seal3_20260721_default_pytest,python3 -m pytest -q,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:39:43.186874Z,2026-07-21T08:39:53.826050Z,10.636579,0,282,0,4,0,"282 passed, 4 deselected in 9.70s",local-safe software validation only
seal3_20260721_integration_audit,python3 -m pytest -q -m integration_audit,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:39:53.900956Z,2026-07-21T08:40:37.750788Z,43.847208,0,4,0,282,0,"4 passed, 282 deselected in 43.35s",local-safe software validation only
seal_20260721_portable_archive,python3 -m certgen release build-archive --out /tmp/certgen_cvpr_repro_final_20260721_v2.zip,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:40:55.414111Z,2026-07-21T08:40:58.734161Z,3.319914,0,0,0,0,0,},"release validation only; excludes data, model assets, caches, and empirical outputs"
seal_20260721_canonical_portable_archive,python3 -m certgen release build-archive --out dist/certgen_cvpr_reproducibility.zip,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:41:14.619971Z,2026-07-21T08:41:17.983382Z,3.363289,1,0,0,0,0,FileExistsError: refusing to overwrite non-identical artifact: <repo-root>/dist/certgen_cvpr_reproducibility.zip.manifest.json,"release validation only; excludes data, model assets, caches, and empirical outputs"
seal2_20260721_canonical_portable_archive,python3 -m certgen release build-archive --out dist/certgen_cvpr_reproducibility.zip,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:41:43.956171Z,2026-07-21T08:41:44.070293Z,0.114002,1,0,0,0,0,FileExistsError: refusing to overwrite archive: <repo-root>/dist/certgen_cvpr_reproducibility.zip,"release validation only; excludes data, model assets, caches, and empirical outputs"
seal3_20260721_canonical_portable_archive,python3 -m certgen release build-archive --out dist/certgen_cvpr_reproducibility.zip,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:41:54.464560Z,2026-07-21T08:41:54.788006Z,0.323346,1,0,0,0,0,RuntimeError: archive verification failed: private absolute path in user-facing file: reports/CERTGEN_REAL_EXECUTION_CLOSURE_COMMAND_LEDGER.csv,"release validation only; excludes data, model assets, caches, and empirical outputs"
seal4_20260721_canonical_portable_archive,python3 -m certgen release build-archive --out dist/certgen_cvpr_reproducibility.zip,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:42:31.478291Z,2026-07-21T08:42:34.774963Z,3.296548,1,0,0,0,0,FileExistsError: refusing to overwrite non-identical artifact: <repo-root>/dist/certgen_cvpr_reproducibility.zip.manifest.json,"release validation only; excludes data, model assets, caches, and empirical outputs"
seal5_20260721_canonical_portable_archive,python3 -m certgen release build-archive --out dist/certgen_cvpr_reproducibility.zip,.,CUDA_VISIBLE_DEVICES='' CERTGEN_CPU_ONLY=1 PYTHONHASHSEED=0,2026-07-21T08:42:53.592582Z,2026-07-21T08:42:56.713788Z,3.121084,0,0,0,0,0,},"release validation only; excludes data, model assets, caches, and empirical outputs"
